algorithm,epsilon,horizon,nRuns,numArms,regret,,rr,epsilon-greedy,UCB,KL-UCB,Thompson-Sampling
epsilon-greedy,0.2,10,200,5,2.435,10,2.015,2.435,1.43,1.965,1.715
epsilon-greedy,0.2,100,200,5,13.875,100,19.835,13.875,11.68,10.665,10.26
epsilon-greedy,0.2,1000,200,5,63.635,1000,199.515,63.635,65.785,35.36,29.91
epsilon-greedy,0.2,10000,200,5,461.885,10000,1996.23,461.885,204.265,66.545,48.105
epsilon-greedy,0.2,100000,200,5,4429.835,100000,20011.565,4429.835,331.055,115.825,40.03
UCB,0.2,10,200,5,1.43,,,,,,
UCB,0.2,100,200,5,11.68,,,,,,
UCB,0.2,1000,200,5,65.785,,,,,,
UCB,0.2,10000,200,5,204.265,,,,,,
UCB,0.2,100000,200,5,331.055,,,,,,
KL-UCB,0.2,10,200,5,1.965,,,,,,
KL-UCB,0.2,100,200,5,10.665,,,,,,
KL-UCB,0.2,1000,200,5,35.36,,,,,,
KL-UCB,0.2,10000,200,5,66.545,,,,,,
KL-UCB,0.2,100000,200,5,115.825,,,,,,
Thompson-Sampling,0.2,10,200,5,1.715,,,,,,
Thompson-Sampling,0.2,100,200,5,10.26,,,,,,
Thompson-Sampling,0.2,1000,200,5,29.91,,,,,,
Thompson-Sampling,0.2,10000,200,5,48.105,,,,,,
Thompson-Sampling,0.2,100000,200,5,40.03,,,,,,
rr,0.2,10,200,5,2.015,,,,,,
rr,0.2,100,200,5,19.835,,,,,,
rr,0.2,1000,200,5,199.515,,,,,,
rr,0.2,10000,200,5,1996.23,,,,,,
rr,0.2,100000,200,5,20011.565,,,,,,
